x,y,z
"-10,64617093",0,"-15,21539031"
"-9,219854476","5,323085464","-15,21539031"
"-4,45706006","7,719854476","-16,21539031"
0,"12,37822174","-14,21539031"
"6,189110868","10,71985448","-14,21539031"
"9,219854476","5,323085464","-15,21539031"
"3,717967697",0,"-19,21539031"
"-3,146170928",0,"-2,225009252"
"-1,224663948","0,70706006","-3,225009252"
"0,1589653438","-0,2753360521","-4,225009252"
0,"-1,183956091","-4,725009252"
"2,006098166","3,474663948","-1,725009252"
"9,474663948","5,470199781","2,274990748"
"7,476297946",0,"0,2749907476"
"-9,316034656",0,"55,08847329"
"-10,31792267","5,957055434","56,58847329"
"-2,059941117","3,567922675","52,08847329"
0,"3,25385683","51,58847329"
"3,791991924","6,567922675","54,08847329"
"12,56792267","7,256093539","58,08847329"
"-1,076270189",0,"49,08847329"
"-12,94039031",0,"76,81090516"
"-12,70670674","7,336220558","77,81090516"
"-5,171157049","8,956706743","75,31090516"
0,"6,012187079","72,81090516"
"4,738144347","8,206706743","74,81090516"
"14,20670674","8,202245962","78,81090516"
"7,744237886",0,"73,81090516"
"3,591034656","-6,219854476","-17,21539031"
0,"-9,780145524","-15,71539031"
"-5,756098166","-9,969854476","-14,71539031"
"-9,219854476","-5,323085464","-15,21539031"
"-10,64617093",0,"-15,21539031"
"-8,469854476","4,890072762","-15,71539031"
"-7,055136271","12,21985448","-13,21539031"
"1,573085464","-2,724663948","-2,225009252"
0,"-0,5480947162","-3,725009252"
"0,000006380944037","0,00001105211927","-4,041459252"
"0,00001105211927","0,000006380944037","-4,041459252"
"0,00001276188807",0,"-4,041459252"
"3,275336052","-1,891016151","-6,225009252"
"-0,70706006","1,224663948","-3,225009252"
"4,658017328","-8,067922675","55,08847329"
0,"-11,04808546","56,08847329"
"-4,658017328","-8,067922675","55,08847329"
"-8,067922675","-4,658017328","55,08847329"
"-14,51218708",0,"58,08847329"
"-16,31792267","9,421157049","60,58847329"
"-12,01923326","20,81792267","63,58847329"
"1,274042732","-2,206706743","70,81090516"
0,"0,04999074759","69,31090516"
"-0,84103003","-1,456706743","70,31090516"
"-4,456706743","-2,573080838","72,31090516"
"-7,744237886",0,"73,81090516"
"-11,95670674","6,903207856","77,31090516"
"-9,068271366","15,70670674","79,81090516"
"15,28237761","26,46985448","-3,715390309"
"27,21985448","15,71539031","-3,215390309"
"30,56475521",0,"-3,715390309"
"21,96985448","-12,6843014","-6,715390309"
"11,81827599","-20,46985448","-7,715390309"
0,"-25,36860279","-6,715390309"
"-12,25128869","-21,21985448","-7,215390309"
"1,573085464","2,724663948","-2,225009252"
"4,224663948","2,439110868","-1,225009252"
"4,878221735",0,"-1,225009252"
"3,474663948","-2,006098166","-1,725009252"
"-1,024990748","1,775336052","-5,225009252"
0,"1,183956091","-4,725009252"
"0,5919780457","1,025336052","-4,725009252"
"8,555131645","14,81792267","59,58847329"
"17,06792267","9,854169751","61,08847329"
"26,63654273",0,"65,08847329"
"11,06792267","-6,390068136","57,08847329"
"2,925966521","-5,067922675","53,08847329"
0,"-9,316034656","55,08847329"
"-6,390068136","-11,06792267","57,08847329"
"1,707055434","2,956706743","71,31090516"
"7,456706743","4,305131645","74,31090516"
"12,07436491",0,"76,31090516"
"5,206706743","-3,006093539","72,81090516"
"-2,190058883","3,793293257","66,81090516"
0,"2,648066959","67,81090516"
"0,4580080757","0,7932932574","68,81090516"
