x,y,z
-23,0,24
"-16,7417318","2,95201902",24
"-19,73354504","7,18242301",24
"-17,32050808",10,24
"-16,85297775","14,14132741",24
"-17,35526546","20,68319996",24
"-14,5","25,11473671",24
"-9,23454387","25,37170076",24
"-3,993908086","22,65057832",24
0,18,24
"4,167556264","23,63538607",24
"6,840402867","18,79385242",24
13,"22,5166605",24
"16,71247785","19,91715552",24
"14,55484442","12,21296458",24
"14,72243186","8,5",24
"13,15569669","4,788282007",24
"10,83288528","1,910129954",24
9,0,24
-23,0,39
"-20,68096281","3,646611731",39
"-20,67323766","7,524443153",39
"-19,05255888",11,39
"-18,38506663","15,42690263",39
"-18,64084068","22,21528885",39
-16,"27,71281292",39
"-10,2606043","28,19077862",39
"-4,514852619","25,60500158",39
0,24,39
"4,688500797","26,58980933",39
"8,20848344","22,5526229",39
13,"22,5166605",39
"17,99805307","21,44924441",39
"19,91715552","16,71247785",39
"16,45448267","9,5",39
"15,97477455","5,814342437",39
"15,75692405","2,778370843",39
12,0,39
0,0,"85,55"
0,0,"85,55"
0,0,"85,55"
0,0,"85,55"
0,0,"85,55"
"-16,71247785","19,91715552","85,55"
-11,"19,05255888","85,55"
0,0,"85,55"
0,0,"85,55"
0,0,"85,55"
0,0,"85,55"
0,0,"85,55"
0,0,"85,55"
0,0,"85,55"
0,0,"85,55"
0,0,"85,55"
0,0,"85,55"
"13,78730854","2,431074487","85,55"
21,0,"85,55"
-32,0,"102,55"
"-33,4834636","5,904038041","102,55"
"-31,94954911","11,62868487","102,55"
"-24,24871131",14,"102,55"
"-16,85297775","14,14132741","102,55"
"-7,713451316","9,192533317","102,55"
-3,"5,196152423","102,55"
0,0,"102,55"
0,0,"102,55"
0,0,"102,55"
0,0,"102,55"
0,0,"102,55"
0,0,"102,55"
0,0,"102,55"
0,0,"102,55"
0,0,"102,55"
0,0,"102,55"
0,0,"102,55"
0,0,"102,55"
8,"-13,85640646",24
"5,13030215","-14,09538931",24
"2,95201902","-16,7417318",24
0,-13,24
"-3,299315376","-18,71134731",24
"-6,840402867","-18,79385242",24
-11,"-19,05255888",24
"-14,14132741","-16,85297775",24
"-18,38506663","-15,42690263",24
"-19,05255888",-11,24
"-18,79385242","-6,840402867",24
"-19,69615506","-3,472963553",24
-18,0,24
"-18,71134731","3,299315376",24
"-16,91446717","6,15636258",24
"-20,78460969",12,24
"-19,91715552","16,71247785",24
"-17,99805307","21,44924441",24
-12,"20,78460969",24
5,"-8,660254038",39
"2,394141003","-6,577848346",39
"1,041889066","-5,908846518",39
0,-8,39
"-2,083778132","-11,81769304",39
"-4,788282007","-13,15569669",39
"-8,5","-14,72243186",39
"-11,57017697","-13,78879998",39
"-15,32088886","-12,85575219",39
"-15,58845727",-9,39
"-16,91446717","-6,15636258",39
"-15,75692405","-2,778370843",39
-14,0,39
"-17,72653955","3,125667198",39
"-15,03508193","5,472322293",39
"-17,32050808",10,39
"-18,38506663","15,42690263",39
"-16,71247785","19,91715552",39
"-12,5","21,65063509",39
0,0,"85,55"
"10,94464459","-30,07016387","85,55"
"4,688500797","-26,58980933","85,55"
0,-28,"85,55"
"-5,20944533","-29,54423259","85,55"
"-9,918584156","-27,251086","85,55"
-14,"-24,24871131","85,55"
"-16,71247785","-19,91715552","85,55"
"-20,68319996","-17,35526546","85,55"
"-25,98076211",-15,"85,55"
"-28,19077862","-10,2606043","85,55"
0,0,"85,55"
0,0,"85,55"
0,0,"85,55"
0,0,"85,55"
0,0,"85,55"
"-16,85297775","14,14132741","85,55"
0,0,"85,55"
0,0,"85,55"
0,0,"102,55"
"10,2606043","-28,19077862","102,55"
"4,862148975","-27,57461708","102,55"
0,-26,"102,55"
"-4,514852619","-25,60500158","102,55"
"-9,576564013","-26,31139338","102,55"
"-11,5","-19,91858429","102,55"
"-16,71247785","-19,91715552","102,55"
"-21,44924441","-17,99805307","102,55"
"-25,11473671","-14,5","102,55"
"-29,13047124","-10,60262444","102,55"
"-33,4834636","-5,904038041","102,55"
0,0,"102,55"
0,0,"102,55"
0,0,"102,55"
"-27,71281292",16,"102,55"
"-14,55484442","12,21296458","102,55"
0,0,"102,55"
0,0,"102,55"
14,"24,24871131",24
"19,9264159","23,74737774",24
"24,51342218","20,56920351",24
"27,71281292",16,24
"24,43200814","8,892523726",24
"20,68096281","3,646611731",24
20,0,24
"23,63538607","-4,167556264",24
"24,43200814","-8,892523726",24
"25,11473671","-14,5",24
"21,44924441","-17,99805307",24
"19,28362829","-22,98133329",24
"13,5","-23,3826859",24
"6,840402867","-18,79385242",24
"3,472963553","-19,69615506",24
0,-20,24
"-3,993908086","-22,65057832",24
"-8,20848344","-22,5526229",24
"-12,5","-21,65063509",24
"13,5","23,3826859",39
"19,9264159","23,74737774",39
"22,21528885","18,64084068",39
"24,24871131",14,39
"21,61293028","7,866463296",39
"18,71134731","3,299315376",39
16,0,39
"18,71134731","-3,299315376",39
"23,49231552","-8,550503583",39
"23,3826859","-13,5",39
"22,21528885","-18,64084068",39
"18,64084068","-22,21528885",39
"12,5","-21,65063509",39
"6,840402867","-18,79385242",39
"3,472963553","-19,69615506",39
0,-19,39
"-3,472963553","-19,69615506",39
"-8,20848344","-22,5526229",39
"-12,5","-21,65063509",39
0,0,"85,55"
0,0,"85,55"
0,0,"85,55"
0,0,"85,55"
0,0,"85,55"
0,0,"85,55"
0,0,"85,55"
0,0,"85,55"
0,0,"85,55"
0,0,"85,55"
0,0,"85,55"
"6,427876097","-7,660444431","85,55"
"8,5","-14,72243186","85,55"
0,0,"85,55"
0,0,"85,55"
0,0,"85,55"
0,0,"85,55"
0,0,"85,55"
0,0,"85,55"
4,"6,92820323","102,55"
"6,427876097","7,660444431","102,55"
"12,25671109","10,28460175","102,55"
"23,3826859","13,5","102,55"
"32,88924173","11,97070502","102,55"
0,0,"102,55"
0,0,"102,55"
0,0,"102,55"
0,0,"102,55"
0,0,"102,55"
0,0,"102,55"
0,0,"102,55"
0,0,"102,55"
0,0,"102,55"
0,0,"102,55"
0,0,"102,55"
0,0,"102,55"
0,0,"102,55"
0,0,"102,55"
