x,y,z
"-24,1687298",0,"3,399494873"
"-23,80155248","4,196855886","3,399494873"
"-20,9451326","7,623404819","2,715454586"
"-20,1169363","11,61451859","3,057474729"
"-17,07462854","14,32731451","2,715454586"
"-14,93133728","17,79447485","3,057474729"
"-10,67482597","18,48934094","2,373434443"
"-8,266192429","22,71117704","3,399494873"
"-4,360031797","24,72696906","3,741515016"
0,"24,1687298","3,399494873"
"4,033679974","22,87613591","3,057474729"
"7,944798624","21,82815482","3,057474729"
"12,0843649","20,93073398","3,399494873"
"14,93133728","17,79447485","3,057474729"
"17,79447485","14,93133728","3,057474729"
"19,30313862","11,14467228","2,715454586"
"19,17908816","6,98061721","2,031414299"
"20,09988617","3,544152241","2,031414299"
"22,28934455",0,"2,715454586"
"-21,85750551",0,"18,52094461"
"-21,52544089","3,795516","18,52094461"
"-19,65631441","7,154313362","18,17892447"
"-16,48776199","9,519213823","17,49488418"
"-16,02397432","13,44571095","18,17892447"
"-12,84168817","15,30412801","17,83690433"
"-10,45890644","18,11535735","18,17892447"
"-8,439888581","23,1884033","19,54700504"
"-3,958691911","22,45085746","18,86296476"
0,"21,85750551","18,52094461"
"3,469164178","19,67460773","17,83690433"
"7,797100972","21,42235886","18,86296476"
"10,92875275","18,92915503","18,52094461"
"14,04973372","16,74382064","18,52094461"
"16,02397432","13,44571095","18,17892447"
"16,48776199","9,519213823","17,49488418"
"18,77329219","6,832919557","17,83690433"
"17,82377457","3,142812355","17,15286404"
"19,03842765",0,"17,49488418"
"-15,33339404",0,"65,68383755"
"-15,10044534","2,662615933","65,68383755"
"-17,0577439","6,208511043","66,70989798"
"-13,27910877","7,666697022","65,68383755"
"-12,46590761","10,46013848","66,02585769"
"-9,252092933","11,02621499","65,3418174"
"-9,546082264","16,53429949","67,05191812"
"-7,815480068","21,47285501","68,41999869"
"-3,6416714","20,65294481","67,73595841"
0,"23,79062763","68,76201884"
"3,968023223","22,50377796","68,41999869"
"7,494086263","20,58983279","68,07797855"
"10,48577488","18,16189486","67,73595841"
"11,06416125","13,18575392","66,36787783"
"11,7460613","9,856115706","65,68383755"
"10,02391804","5,787311781","64,31575697"
"13,52565501","4,922935824","65,3418174"
"12,3241956","2,1730882","64,65777712"
"10,63493094",0,"63,97373683"
"-9,519051608",0,"81,6586121"
"-11,22526898","1,979317787","82,34265239"
"-8,944982553","3,255707395","81,6586121"
"-9,057538194","5,229372114","82,00063224"
"-7,292016588","6,11872843","81,6586121"
"-6,722751203","8,011862899","82,00063224"
"-7,578603666","13,1265266","83,71073296"
"-4,86267642","13,36009366","83,36871282"
"-3,121549165","17,70318503","84,73679339"
0,"15,15720733","83,71073296"
"3,121549165","17,70318503","84,73679339"
"4,86267642","13,36009366","83,36871282"
"6,638911046","11,49893124","83,02669267"
"9,138842297","10,89124814","83,36871282"
"8,731709209","7,326773977","82,34265239"
"8,243740513","4,759525804","81,6586121"
"8,061960332","2,934313591","81,31659196"
"4,747352933","0,837086409","79,94851138"
"2,001510642",0,"78,92245095"
"9,265287036","-16,04794789","1,347374013"
"6,98061721","-19,17908816","2,031414299"
"3,544152241","-20,09988617","2,031414299"
0,"-20,40995931","2,031414299"
"-3,544152241","-20,09988617","2,031414299"
"-7,302011014","-20,06211038","2,373434443"
"-10,20497966","-17,67554326","2,031414299"
"-13,72329173","-16,35478223","2,373434443"
"-14,1952433","-11,91122341","1,347374013"
"-15,23415021","-8,795440725","1,005353869"
"-16,53002149","-6,016435795","1,005353869"
