x,y,z
"-9,926285519",0,"11,13271728"
"-11,71517556","2,065701535","11,48001364"
"-10,25307383","3,731813685","11,30636546"
"-6,890678361","3,978335007","10,78542092"
"-7,603975863","6,380493342","11,13271728"
"-4,481426677","5,340756343","10,61177275"
"-3,48593113","6,037809829","10,61177275"
"-2,047693241","5,625990941","10,43812457"
"-1,210651176","6,865944007","10,61177275"
0,"5,987054507","10,43812457"
"1,210651176","6,865944007","10,61177275"
"1,374045063","3,775157784","10,09082821"
"2,993527254","5,184941297","10,43812457"
"3,215382234","3,831943329","10,26447639"
"3,831943329","3,215382234","10,26447639"
"2,626335701","1,516315624","9,917180037"
"2,849741205","1,037220974","9,917180037"
"2,016712455","0,3556008181","9,743531859"
"1,063015742",0,"9,569883681"
"-9,29117836",0,"26,25212993"
"-13,99925604","2,468446549","27,12037082"
"-11,50710148","4,188242421","26,77307446"
"-9,752133555","5,630396933","26,59942629"
"-9,380675073","7,871320994","26,77307446"
"-6,605276551","7,87186206","26,42577811"
"-5,137993057","8,899265023","26,42577811"
"-3,514594243","9,656268322","26,42577811"
"-1,613396191","9,150024484","26,25212993"
0,"8,306370607","26,07848175"
"1,955416334","11,0897171","26,59942629"
"3,177770154","8,730851743","26,25212993"
"3,660781427","6,340659427","25,90483358"
"5,339232108","6,363049046","26,07848175"
"5,608642539","4,706209886","25,90483358"
"7,193527959","4,153185304","26,07848175"
"5,02918543","1,830473799","25,55753722"
"4,300792932","0,7583458323","25,38388904"
"2,397524089",0,"25,03659269"
"-14,01035648",0,"74,35235714"
"-11,85781506","2,090852728","74,00506079"
"-10,38917886","3,781351864","73,83141261"
"-7,868981967","4,543158857","73,48411625"
"-10,73255573","9,005683552","74,35235714"
"-7,106616887","8,469336207","73,83141261"
"-2,573543351","4,457507839","72,78952354"
"-2,770879598","7,612929127","73,31046808"
"-0,8937822261","5,068890889","72,78952354"
0,"6,131894455","72,96317172"
"0,8937822261","5,068890889","72,78952354"
"-2,281481735","-6,268319549","70,70574541"
"-5,304918673","-9,188388672","70,0111527"
"-9,351960873","-11,14523297","69,31655999"
"0,00006699935423","0,00005621913342","71,88196871"
"0,00007574383356","0,00004373072269","71,88196871"
"0,00008218687483","0,00002991357609","71,88196871"
"0,00008613270951","0,00001518752061","71,88196871"
"0,00008746144539",0,"71,88196871"
"1,744163331",0,"88,83666263"
"3,657358191","-0,6448909272","88,48936628"
"4,415227146","-1,607011259","88,3157181"
"6,627700944","-3,826504924","87,79477357"
"7,371358681","-6,185304351","87,44747721"
"8,717393237","-10,38898471","86,7528845"
"-0,00001484038083","0,0000257042936","89,14421092"
"-0,00001015141836","0,00002789079271","89,14421092"
"-0,000005154010174","0,0000292298442","89,14421092"
0,"0,00002968076166","89,14421092"
"0,000005154010174","0,0000292298442","89,14421092"
"0,00001015141836","0,00002789079271","89,14421092"
"0,00001484038083","0,0000257042936","89,14421092"
"0,00001907842584","0,00002273678254","89,14421092"
"0,00002273678254","0,00001907842584","89,14421092"
"0,0000257042936","0,00001484038083","89,14421092"
"0,00002789079271","0,00001015141836","89,14421092"
"-21,11459178","-3,723072217","85,36369908"
"0,00002968076166",0,"89,14421092"
"0,531507871","-0,9205986372","9,569883681"
"1,374045063","-3,775157784","10,09082821"
"0,8686310331","-4,926251386","10,26447639"
0,"-6,97186226","10,61177275"
"-0,8686310331","-4,926251386","10,26447639"
"-1,374045063","-3,775157784","10,09082821"
"-2,501123377","-4,332072765","10,26447639"
"-1,316315569","-1,568723809","9,743531859"
"-2,323130316","-1,949337791","9,917180037"
"-1,773467169","-1,023911748","9,743531859"
"-0,9989080485","-0,3635727964","9,569883681"
"-3,956405075","-0,6976209614","10,09082821"
"-1,063015742",0,"9,569883681"
"-2,016712455","0,3556008181","9,743531859"
"-1,924324627","0,7003968853","9,743531859"
"-2,626335701","1,516315624","9,917180037"
"-1,568723809","1,316315569","9,743531859"
"-1,949337791","2,323130316","9,917180037"
"-1,516315624","2,626335701","9,917180037"
"3,168377551","-5,487790895","25,7311854"
"2,504121977","-6,880018587","25,90483358"
"1,271376047","-7,210331863","25,90483358"
0,"-8,306370607","26,07848175"
"-1,271376047","-7,210331863","25,90483358"
"-2,167297888","-5,954602008","25,7311854"
"-3,660781427","-6,340659427","25,90483358"
"-5,339232108","-6,363049046","26,07848175"
"-7,117455553","-5,972254329","26,25212993"
"-7,193527959","-4,153185304","26,07848175"
"-5,954602008","-2,167297888","25,7311854"
"-7,210331863","-1,271376047","25,90483358"
"-10,27598611",0,"26,42577811"
"-9,150024484","1,613396191","26,25212993"
"-10,5816849","3,851418332","26,59942629"
"-9,752133555","5,630396933","26,59942629"
"-9,380675073","7,871320994","26,77307446"
"-7,871320994","9,380675073","26,77307446"
"-6,12280081","10,60500209","26,77307446"
"6,512774363","-11,28045609","74,17870897"
"7,149592753","-19,64334465","75,56789439"
"3,800953444","-21,55627817","75,74154256"
0,"-24,84324176","76,2624871"
"-3,458933301","-19,61658555","75,39424621"
"-7,149592753","-19,64334465","75,56789439"
"-11,43681313","-19,80914141","75,91519074"
"-14,06986132","-16,76780778","75,74154256"
"-16,76780778","-14,06986132","75,74154256"
"-19,80914141","-11,43681313","75,91519074"
"-21,4941778","-7,82324093","75,91519074"
"-24,4658171","-4,313983659","76,2624871"
"-25,82804952",0,"76,43613528"
"-24,4658171","4,313983659","76,2624871"
"-25,19584412","9,170537286","76,60978345"
"-25,77922114","14,88364026","77,13072799"
"-22,80305983","19,1340391","77,13072799"
"-0,00005621913342","0,00006699935423","71,88196871"
"-0,00004373072269","0,00007574383356","71,88196871"
"-7,765735936","13,4506492","86,40558815"
"-5,312076236","14,59480951","86,40558815"
"-2,526001716","14,32566761","86,57923633"
0,"13,56185637","86,7528845"
"2,868021859","16,26536023","86,23193997"
"4,975252147","13,66939293","86,57923633"
"6,288524307","10,8920436","86,92653268"
"9,350415458","11,14339121","86,57923633"
"10,38898471","8,717393237","86,7528845"
"12,59778067","7,27333206","86,57923633"
"13,66939293","4,975252147","86,57923633"
"12,38597498","2,183981572","86,92653268"
"18,48589513",0,"85,88464361"
"19,17489916","-3,381052074","85,71099544"
"17,37105924","-6,322548502","85,88464361"
"10,8920436","-6,288524307","86,92653268"
"11,14339121","-9,350415458","86,57923633"
"4,286237686","-5,108139161","87,96842175"
"0,8720816653","-1,510489753","88,83666263"
"5,455546636","9,449283957","11,30636546"
"7,013515563","8,358382369","11,30636546"
"7,603975863","6,380493342","11,13271728"
"7,743546893","4,470738883","10,9590691"
"10,25307383","3,731813685","11,30636546"
"9,775482938","1,723681391","11,13271728"
"8,941477766",0,"10,9590691"
"10,74532925","-1,894691463","11,30636546"
"8,402240676","-3,058165507","10,9590691"
"9,449283957","-5,455546636","11,30636546"
"6,849569356","-5,74747112","10,9590691"
"6,380493342","-7,603975863","11,13271728"
"4,470738883","-7,743546893","10,9590691"
"2,721341418","-7,476824097","10,78542092"
"1,723681391","-9,775482938","11,13271728"
0,"-7,956670013","10,78542092"
"-1,55267132","-8,805636627","10,9590691"
"-3,394989596","-9,327657254","11,13271728"
"-5,947950513","-10,30215249","11,48001364"
"4,153185304","7,193527959","26,07848175"
