x,y,z
"-12,37822174",0,"-14,21539031"
"-15,60164286","2,75099058","-12,21539031"
"-15,70071203","5,714591836","-11,71539031"
"-11,46985448","6,622123569","-13,71539031"
"-12,13592377","10,18324916","-12,21539031"
"-9,626578759","11,47250982","-12,71539031"
"-7,488148973","12,96985448","-12,71539031"
"-3,345006774","9,190330579","-15,71539031"
"-1,698304448","9,631563137","-15,71539031"
0,"10,64617093","-15,21539031"
"3,051758046","17,30737992","-11,21539031"
"3,937403039","10,81792594","-14,71539031"
"7,488148973","12,96985448","-12,71539031"
"9,06990836","10,80909587","-13,21539031"
"9,482267976","7,956567561","-14,21539031"
"10,71985448","6,189110868","-14,21539031"
"10,81792594","3,937403039","-14,71539031"
"8,778694605","1,547920714","-16,21539031"
"13,24424714",0,"-13,71539031"
"-12,67245037",0,"3,274990748"
"-17,59713856","3,102850312","6,274990748"
"-11,9082081","4,334233292","3,274990748"
"-11,72466395","6,769237886","3,774990748"
"-11,03448808","9,25903488","4,274990748"
"-11,48571648","13,68814388","6,274990748"
"-8,501288694","14,72466395","5,774990748"
"-5,22282769","14,34960114","4,774990748"
"-2,05016418","11,62705884","2,774990748"
0,"8,34232335","0,7749907476"
"2,200547913","12,47992737","3,274990748"
"4,038035159","11,09441042","2,774990748"
"8,068275992","13,97466395","5,274990748"
"11,48571648","13,68814388","6,274990748"
"11,69790203","9,815705279","4,774990748"
"10,22466395","5,903212483","2,774990748"
"9,466815055","3,445638893","1,774990748"
"7,362716181","1,298245514","0,2749907476"
"12,67245037",0,"3,274990748"
"-5,851933041",0,"53,08847329"
"-7,468766093","1,316944975","54,08847329"
"-10,38180438","3,778667774","56,08847329"
"-5,817922675","3,358979222","53,58847329"
"-7,799910528","6,544902048","55,58847329"
"-9,328254044","11,11698027","58,08847329"
"-8,555131645","14,81792267","59,58847329"
"-4,074865907","11,19560207","56,58847329"
"-1,768096174","10,02737169","55,58847329"
0,"8,450009252","54,58847329"
"2,068863641","11,73310875","56,58847329"
"3,186271508","8,754209021","55,08847329"
"8,988144347","15,56792267","60,08847329"
"7,658242846","9,126738425","56,58847329"
"5,809668684","4,87489085","54,08847329"
"6,567922675","3,791991924","54,08847329"
"5,499018296","2,001478977","53,08847329"
"3,204423433","0,5650263089","51,58847329"
"5,851933041",0,"53,08847329"
"-0,8160346562",0,"69,81090516"
"-1,656505788","0,2920866641","70,31090516"
"-2,394417107","0,8714965555","70,81090516"
"0,04329325737","-0,0249953738","69,31090516"
"-0,6251188138","0,5245369661","69,81090516"
"-2,194548164","2,615360658","71,31090516"
"-3,439106241","5,956706743","73,31090516"
"-2,056289086","5,649607833","72,81090516"
"-0,7432378637","4,215111384","71,81090516"
0,"0,8160346562","69,81090516"
"1,04400533","5,920848448","72,81090516"
"1,167694688","3,208214789","71,31090516"
"3,872118943","6,706706743","73,81090516"
"6,091240958","7,259258295","74,81090516"
"2,615360658","2,194548164","71,31090516"
"1,456706743","0,84103003","70,31090516"
"-0,04697593662","-0,01709784266","69,31090516"
"-2,607836872","-0,4598320018","67,81090516"
"-1,782041555",0,"68,31090516"
"7,055136271","-12,21985448","-13,21539031"
"4,825997437","-13,25931899","-13,21539031"
"2,149455647","-12,19016873","-14,21539031"
0,"-14,97629795","-12,71539031"
"-2,600606847","-14,74877433","-12,71539031"
"-5,12219557","-14,07311667","-12,71539031"
"-7,488148973","-12,96985448","-12,71539031"
"-10,18324916","-12,13592377","-12,21539031"
"-10,80909587","-9,06990836","-13,21539031"
"-11,46985448","-6,622123569","-13,71539031"
"-12,4455213","-4,529799305","-13,71539031"
"-12,19016873","-2,149455647","-14,21539031"
"-13,24424714",0,"-13,71539031"
"-15,60164286","2,75099058","-12,21539031"
"-14,88691435","5,418393703","-12,21539031"
"-15,96985448","9,220199781","-10,71539031"
"-14,78957956","12,40993076","-10,21539031"
"-10,73991956","12,79933772","-11,71539031"
"-8,787187079","15,21985448","-11,21539031"
"5,903212483","-10,22466395","2,774990748"
"4,334233292","-11,9082081","3,274990748"
"2,50131538","-14,18566444","4,274990748"
0,"-16,13655198","5,274990748"
"-3,403617779","-19,30287563","7,274990748"
"-7,000016486","-19,23238723","7,774990748"
"-10,6663522","-18,47466395","8,274990748"
"-12,04238688","-14,35155782","6,774990748"
"-11,69790203","-9,815705279","4,774990748"
"-10,97466395","-6,336225185","3,274990748"
"-12,72200578","-4,630431424","3,774990748"
"-14,18566444","-2,50131538","4,274990748"
"-11,80642497",0,"2,774990748"
"-17,59713856","3,102850312","6,274990748"
"-15,16339882","5,519025822","5,274990748"
"-19,22466395","11,09936491","8,774990748"
"-15,01497177","12,59905728","7,274990748"
"-10,92904608","13,02472993","5,774990748"
"-7,63526329","13,22466395","4,774990748"
"6,823080838","-11,81792267","57,58847329"
"4,371064039","-12,00939975","57,08847329"
"3,873468439","-21,96753114","62,58847329"
0,"-22,30641571","62,58847329"
"-4,475003372","-25,37900526","64,58847329"
"-8,221639765","-22,5887696","63,58847329"
"-8,988144347","-15,56792267","60,08847329"
"-9,884924443","-11,78039422","58,58847329"
"-9,790152373","-8,214913245","57,08847329"
"-11,06792267","-6,390068136","57,08847329"
"-12,82319743","-4,667262172","57,58847329"
"-14,29171435","-2,52001484","58,08847329"
"-15,37821248",0,"58,58847329"
"-25,37900526","4,475003372","64,58847329"
"-17,70598352","6,444450968","60,58847329"
"-26,06792267","15,05032217","67,08847329"
"-22,39501739","18,79165083","66,58847329"
"-16,00829883","19,07794765","64,08847329"
"-10,72019515","18,56792267","62,08847329"
"1,707055434","-2,956706743","71,31090516"
"0,5752984228","-1,580619426","70,31090516"
"2,547842662","-14,44953377","77,81090516"
0,"-7,744237886","73,81090516"
"-2,397458929","-13,59666524","77,31090516"
"-6,203062945","-17,04277537","79,81090516"
"-4,738144347","-8,206706743","74,81090516"
"-4,97790016","-5,932430399","73,81090516"
"-4,605602503","-3,864559361","72,81090516"
"-2,206706743","-1,274042732","70,81090516"
"-4,02201247","-1,463892821","71,81090516"
"-4,215111384","-0,7432378637","71,81090516"
"-6,878212483",0,"73,31090516"
"-14,44953377","2,547842662","77,81090516"
"-7,277203196","2,648685352","73,81090516"
"-9,706706743","5,604169751","75,81090516"
"-19,20070936","16,11130814","83,81090516"
"-11,65794495","13,89339778","79,81090516"
"-8,635258664","14,95670674","79,31090516"
"9,220199781","15,96985448","-10,71539031"
"12,96660115","15,45299351","-9,715390309"
"16,11640746","13,52327155","-9,215390309"
"17,46985448","10,08622518","-9,715390309"
"21,3972958","7,787978765","-8,215390309"
"19,86598552","3,502909246","-9,715390309"
"20,17245037",0,"-9,715390309"
"18,16024846","-3,202141779","-10,71539031"
"17,32830739","-6,306988101","-10,71539031"
"18,96985448","-10,95225059","-8,715390309"
"17,44323535","-14,63661235","-8,215390309"
"15,19328275","-18,1066493","-7,715390309"
"12,6843014","-21,96985448","-6,715390309"
"6,899384366","-18,95590276","-9,715390309"
"3,051758046","-17,30737992","-11,21539031"
0,"-20,17245037","-9,715390309"
"-3,202141779","-18,16024846","-10,71539031"
"-7,491780632","-20,58349812","-8,715390309"
"-10,51923789","-18,21985448","-9,215390309"
"6,769237886","11,72466395","3,774990748"
"10,92904608","13,02472993","5,774990748"
"13,68814388","11,48571648","6,274990748"
"16,22466395","9,367314098","6,774990748"
"15,97719651","5,815223955","5,774990748"
"13,33279591","2,350931646","3,774990748"
"14,40450118",0,"4,274990748"
"9,921321777","-1,749396714","1,774990748"
"12,72200578","-4,630431424","3,774990748"
"14,72466395","-8,501288694","5,774990748"
"15,01497177","-12,59905728","7,274990748"
"11,48571648","-13,68814388","6,274990748"
"6,336225185","-10,97466395","3,274990748"
"3,445638893","-9,466815055","1,774990748"
"1,298245514","-7,362716181","0,2749907476"
0,"-8,34232335","0,7749907476"
"-1,448629247","-8,215584713","0,7749907476"
"-4,334233292","-11,9082081","3,274990748"
"-5,903212483","-10,22466395","2,774990748"
"2,492953819","4,317922675","52,58847329"
"8,214913245","9,790152373","57,08847329"
"9,790152373","8,214913245","57,08847329"
"8,817922675","5,09103003","55,58847329"
"5,499018296","2,001478977","53,08847329"
"3,204423433","0,5650263089","51,58847329"
"0,6557806183",0,"50,08847329"
"2,351554901","-0,4146425757","51,08847329"
"3,057625252","-1,112884579","51,58847329"
"1,317922675","-0,7609030111","50,58847329"
"-3,47812659","2,918494739","47,08847329"
"-6,258517135","7,458610279","44,08847329"
"-6,600312921","11,43207733","42,08847329"
"-5,107276208","14,03212606","41,08847329"
"-2,743415821","15,55868427","40,58847329"
0,"12,33460044","42,58847329"
"1,690729689","9,588604546","44,08847329"
"3,922483677","10,77693533","43,08847329"
"7,899351027","13,68207733","40,58847329"
"-3,489096989","-6,043293257","65,31090516"
"-2,25881503","-2,691950927","67,31090516"
"-0,7017090826","-0,5888038324","68,81090516"
